Player,Year,Team,Role,MVP,Team
David West,2008,West,Reserve,N,NOH
Caron Butler,2008,West,DNP,N,WAS
Kevin Garnett,2008,West,DNP,N,BOS
Gilbert Arenas,2007,East,Starter,N,WAS
Chris Bosh,2007,East,Starter,N,TOR
LeBron James,2007,East,Starter,N,CLE
Shaquille O'Neal,2007,East,Starter,N,MIA
Dwyane Wade,2007,East,Starter,N,MIA
Chauncey Billups,2007,East,Reserve,N,DET
Caron Butler,2007,East,Reserve,N,WAS
Vince Carter,2007,East,Reserve,N,NJN
Richard Hamilton,2007,East,Reserve,N,DET
Dwight Howard,2007,East,Reserve,N,ORL
Joe Johnson,2007,East,Reserve,N,ATL
Jermaine O'Neal,2007,East,Reserve,N,IND
Kobe Bryant,2007,West,Starter,Y,LAL
Tim Duncan,2007,West,Starter,N,SAS
Kevin Garnett,2007,West,Starter,N,MIN
Tracy McGrady,2007,West,Starter,N,HOU
Dirk Nowitzki,2007,West,Starter,N,DAL
Ray Allen,2007,West,Reserve,N,SEA
Carmelo Anthony,2007,West,Reserve,N,DEN
Josh Howard,2007,West,Reserve,N,DAL
Shawn Marion,2007,West,Reserve,N,PHO
Mehmet Okur,2007,West,Reserve,N,UTA
Tony Parker,2007,West,Reserve,N,SAS
Amar'e Stoudemire,2007,West,Reserve,N,PHO
Carlos Boozer,2007,West,DNP,N,UTA
Allen Iverson,2007,West,DNP,N,DEN
Jason Kidd,2007,West,DNP,N,NJN
Yao Ming,2007,West,DNP,N,HOU
Steve Nash,2007,West,DNP,N,NA
Vince Carter,2006,East,Starter,N,NJN
Allen Iverson,2006,East,Starter,N,PHI
LeBron James,2006,East,Starter,Y,CLE
Shaquille O'Neal,2006,East,Starter,N,MIA
Dwyane Wade,2006,East,Starter,N,MIA
Gilbert Arenas,2006,East,Reserve,N,WAS
Chauncey Billups,2006,East,Reserve,N,DET
Chris Bosh,2006,East,Reserve,N,TOR
Richard Hamilton,2006,East,Reserve,N,DET
Paul Pierce,2006,East,Reserve,N,BOS
Ben Wallace,2006,East,Reserve,N,DET
Rasheed Wallace,2006,East,Reserve,N,DET
Kobe Bryant,2006,West,Starter,N,LAL
Tim Duncan,2006,West,Starter,N,SAS
Tracy McGrady,2006,West,Starter,N,HOU
Yao Ming,2006,West,Starter,N,HOU
Steve Nash,2006,West,Starter,N,PHO
Ray Allen,2006,West,Reserve,N,SEA
Elton Brand,2006,West,Reserve,N,LAC
Kevin Garnett,2006,West,Reserve,N,MIN
Pau Gasol,2006,West,Reserve,N,MEM
Shawn Marion,2006,West,Reserve,N,PHO
Dirk Nowitzki,2006,West,Reserve,N,DAL
Tony Parker,2006,West,Reserve,N,SAS
Jermaine O'Neal,2006,West,DNP,N,NA
Vince Carter,2005,East,Starter,N,NJN
Grant Hill,2005,East,Starter,N,ORL
Allen Iverson,2005,East,Starter,Y,PHI
LeBron James,2005,East,Starter,N,CLE
Shaquille O'Neal,2005,East,Starter,N,MIA
Gilbert Arenas,2005,East,Reserve,N,WAS
Zydrunas Ilgauskas,2005,East,Reserve,N,CLE
Antawn Jamison,2005,East,Reserve,N,WAS
Jermaine O'Neal,2005,East,Reserve,N,IND
Paul Pierce,2005,East,Reserve,N,BOS
Dwyane Wade,2005,East,Reserve,N,MIA
Ben Wallace,2005,East,Reserve,N,DET
Kobe Bryant,2005,West,Starter,N,LAL
Tim Duncan,2005,West,Starter,N,SAS
Kevin Garnett,2005,West,Starter,N,MIN
Tracy McGrady,2005,West,Starter,N,HOU
Yao Ming,2005,West,Starter,N,HOU
Ray Allen,2005,West,Reserve,N,SEA
Manu Ginobili,2005,West,Reserve,N,SAS
Rashard Lewis,2005,West,Reserve,N,SEA
Shawn Marion,2005,West,Reserve,N,PHO
Steve Nash,2005,West,Reserve,N,PHO
Dirk Nowitzki,2005,West,Reserve,N,DAL
Amar'e Stoudemire,2005,West,Reserve,N,PHO
Vince Carter,2004,East,Starter,N,TOR
Allen Iverson,2004,East,Starter,N,PHI
Tracy McGrady,2004,East,Starter,N,ORL
Jermaine O'Neal,2004,East,Starter,N,IND
Ben Wallace,2004,East,Starter,N,DET
Baron Davis,2004,East,Reserve,N,NOH
Jason Kidd,2004,East,Reserve,N,NJN
Jamaal Magloire,2004,East,Reserve,N,NOH
Kenyon Martin,2004,East,Reserve,N,NJN
Paul Pierce,2004,East,Reserve,N,BOS
Michael Redd,2004,East,Reserve,N,MIL
Metta World Peace,2004,East,Reserve,N,IND
Kobe Bryant,2004,West,Starter,N,LAL
Tim Duncan,2004,West,Starter,N,SAS
Steve Francis,2004,West,Starter,N,HOU
Kevin Garnett,2004,West,Starter,N,MIN
Yao Ming,2004,West,Starter,N,HOU
Ray Allen,2004,West,Reserve,N,SEA
Sam Cassell,2004,West,Reserve,N,MIN
Andrei Kirilenko,2004,West,Reserve,N,UTA
Brad Miller,2004,West,Reserve,N,SAC
Dirk Nowitzki,2004,West,Reserve,N,DAL
Shaquille O'Neal,2004,West,Reserve,Y,LAL
Peja Stojakovic,2004,West,Reserve,N,SAC
Allen Iverson,2003,East,Starter,N,PHI
Michael Jordan,2003,East,Starter,N,WAS
Tracy McGrady,2003,East,Starter,N,ORL
Jermaine O'Neal,2003,East,Starter,N,IND
Ben Wallace,2003,East,Starter,N,DET
Vince Carter,2003,East,Reserve,N,TOR
Zydrunas Ilgauskas,2003,East,Reserve,N,CLE
Jason Kidd,2003,East,Reserve,N,NJN
Jamal Mashburn,2003,East,Reserve,N,NOH
Brad Miller,2003,East,Reserve,N,IND
Paul Pierce,2003,East,Reserve,N,BOS
Antoine Walker,2003,East,Reserve,N,BOS
Kobe Bryant,2003,West,Starter,N,LAL
Tim Duncan,2003,West,Starter,N,SAS
Steve Francis,2003,West,Starter,N,HOU
Kevin Garnett,2003,West,Starter,Y,MIN
Yao Ming,2003,West,Starter,N,HOU
Stephon Marbury,2003,West,Reserve,N,PHO
Shawn Marion,2003,West,Reserve,N,PHO
Steve Nash,2003,West,Reserve,N,DAL
Dirk Nowitzki,2003,West,Reserve,N,DAL
Shaquille O'Neal,2003,West,Reserve,N,LAL
Gary Payton,2003,West,Reserve,N,SEA
Peja Stojakovic,2003,West,Reserve,N,SAC
Chris Webber,2003,West,DNP,N,NA
Allen Iverson,2002,East,Starter,N,PHI
Michael Jordan,2002,East,Starter,N,WAS
Jason Kidd,2002,East,Starter,N,NJN
Dikembe Mutombo,2002,East,Starter,N,PHI
Antoine Walker,2002,East,Starter,N,BOS
Shareef Abdur-Rahim,2002,East,Reserve,N,ATL
Ray Allen,2002,East,Reserve,N,MIL
Baron Davis,2002,East,Reserve,N,CHH
Tracy McGrady,2002,East,Reserve,N,ORL
Alonzo Mourning,2002,East,Reserve,N,MIA
Jermaine O'Neal,2002,East,Reserve,N,IND
Paul Pierce,2002,East,Reserve,N,BOS
Kobe Bryant,2002,West,Starter,Y,LAL
Tim Duncan,2002,West,Starter,N,SAS
Steve Francis,2002,West,Starter,N,HOU
Kevin Garnett,2002,West,Starter,N,MIN
Chris Webber,2002,West,Starter,N,SAC
Elton Brand,2002,West,Reserve,N,LAC
Steve Nash,2002,West,Reserve,N,DAL
Dirk Nowitzki,2002,West,Reserve,N,DAL
Gary Payton,2002,West,Reserve,N,SEA
Peja Stojakovic,2002,West,Reserve,N,SAC
Wally Szczerbiak,2002,West,Reserve,N,MIN
Vince Carter,2002,West,DNP,N,NA
Karl Malone,2002,West,DNP,N,NA
Shaquille O'Neal,2002,West,DNP,N,NA
Vince Carter,2001,East,Starter,N,TOR
Antonio Davis,2001,East,Starter,N,TOR
Allen Iverson,2001,East,Starter,Y,PHI
Anthony Mason,2001,East,Starter,N,MIA
Tracy McGrady,2001,East,Starter,N,ORL
Ray Allen,2001,East,Reserve,N,MIL
Allan Houston,2001,East,Reserve,N,NYK
Stephon Marbury,2001,East,Reserve,N,NJN
Dikembe Mutombo,2001,East,Reserve,N,ATL
Glenn Robinson,2001,East,Reserve,N,MIL
Latrell Sprewell,2001,East,Reserve,N,NYK
Jerry Stackhouse,2001,East,Reserve,N,DET
Kobe Bryant,2001,West,Starter,N,LAL
Tim Duncan,2001,West,Starter,N,SAS
Kevin Garnett,2001,West,Starter,N,MIN
Jason Kidd,2001,West,Starter,N,PHO
Chris Webber,2001,West,Starter,N,SAC
Vlade Divac,2001,West,Reserve,N,SAC
Michael Finley,2001,West,Reserve,N,DAL
Karl Malone,2001,West,Reserve,N,UTA
Antonio McDyess,2001,West,Reserve,N,DEN
Gary Payton,2001,West,Reserve,N,SEA
David Robinson,2001,West,Reserve,N,SAS
Rasheed Wallace,2001,West,Reserve,N,POR
Grant Hill,2001,West,DNP,N,NA
Alonzo Mourning,2001,West,DNP,N,CHA
Shaquille O'Neal,2001,West,DNP,N,NA
Theo Ratliff,2001,West,DNP,N,NA
Vince Carter,2000,East,Starter,N,TOR
Grant Hill,2000,East,Starter,N,DET
Allen Iverson,2000,East,Starter,N,PHI
Eddie Jones,2000,East,Starter,N,CHH
Alonzo Mourning,2000,East,Starter,N,MIA
Ray Allen,2000,East,Reserve,N,MIL
Dale Davis,2000,East,Reserve,N,IND
Allan Houston,2000,East,Reserve,N,NYK
Reggie Miller,2000,East,Reserve,N,IND
Dikembe Mutombo,2000,East,Reserve,N,ATL
Glenn Robinson,2000,East,Reserve,N,MIL
Jerry Stackhouse,2000,East,Reserve,N,DET
Kobe Bryant,2000,West,Starter,N,LAL
Tim Duncan,2000,West,Starter,Y,SAS
Kevin Garnett,2000,West,Starter,N,MIN
Jason Kidd,2000,West,Starter,N,PHO
Shaquille O'Neal,2000,West,Starter,Y,LAL
