seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30703,Jalen Williams,OKC,2023,21,1,57,44,1669,287,562,50,154,237,408,95,123,56,182,238,171,73,29,88,148,719,0,28,33,0,1,0,0.01
30523,Cam Thomas,BRK,2023,21,2,44,3,761,159,357,40,100,119,257,132,155,7,70,77,71,17,5,47,45,490,0,34,27,0,1,0,0.01
30851,Luke Kennard,MEM,2023,26,6,4,0,90,9,22,9,17,0,5,4,4,1,5,6,6,0,0,0,8,31,0,37,23,0,1,0,0.01
30528,Caris LeVert,CLE,2023,28,7,58,26,1738,241,587,87,242,154,345,103,143,40,185,225,231,48,14,95,128,672,0,39,25,0,1,0,0.01
30527,Cameron Payne,PHO,2023,28,8,30,14,695,133,324,51,134,82,190,39,53,10,61,71,148,26,5,59,63,356,0,33,29,0,1,0,0.01
30820,Kevin Porter Jr.,HOU,2023,22,4,40,40,1359,269,615,88,254,181,361,141,184,55,163,218,225,53,16,143,109,767,0,13,48,0,1,0,0.01
31005,Spencer Dinwiddie,BRK,2023,29,9,7,7,238,37,91,15,45,22,46,30,35,1,28,29,42,7,0,16,17,119,0,34,27,0,1,0,0.01
30490,Ben Simmons,BRK,2023,26,5,42,33,1105,133,235,0,2,133,233,25,57,40,223,263,256,54,24,97,139,291,0,34,27,0,1,0,0.01
30595,Deonte Burton,SAC,2023,29,3,2,0,6,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,25,0,1,0,0.01
30627,Eric Gordon,LAC,2023,34,15,52,47,1518,217,502,90,257,127,245,119,145,13,93,106,150,33,20,85,51,643,0,33,31,0,1,0,0.01
30981,Russell Westbrook,LAC,2023,34,15,3,3,93,18,34,4,9,14,25,8,8,3,14,17,28,7,0,13,11,48,0,33,31,0,1,0,0.01
30566,Danny Green,CLE,2023,35,14,3,0,43,3,11,3,8,0,3,0,0,1,3,4,2,1,0,3,6,9,0,39,25,0,1,0,0.01
30567,Danny Green,CLE,2023,35,14,3,0,28,3,8,3,7,0,1,1,1,0,1,1,0,1,1,2,3,10,0,39,25,0,1,0,0.01
30549,Collin Sexton,UTA,2023,24,5,47,15,1129,230,454,48,117,182,337,162,197,37,67,104,135,27,6,84,109,670,0,31,32,0,1,0,0.01
30629,Eric Gordon,LAC,2023,34,15,5,0,100,7,24,5,12,2,12,9,10,1,8,9,14,3,3,2,6,28,0,33,31,0,1,0,0.01
30628,Eric Gordon,LAC,2023,34,15,47,47,1418,210,478,85,245,125,233,110,135,12,85,97,136,30,17,83,45,615,0,33,31,0,1,0,0.01
30866,Markelle Fultz,ORL,2023,24,6,41,41,1199,223,446,17,55,206,391,77,98,52,113,165,225,61,16,96,83,540,0,26,36,0,1,0,0.01
31049,Trevor Keels,NYK,2023,19,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,36,27,0,1,0,0.01
30593,Dennis Schröder,LAL,2023,29,10,48,43,1474,194,459,56,165,138,294,152,174,13,110,123,213,33,6,81,108,596,0,29,33,0,1,0,0.01
30765,Josh Hart,NYK,2023,27,6,57,51,1862,213,412,46,131,167,281,98,134,104,345,449,219,61,12,86,146,570,0,36,27,1,1,0,0.01
30767,Josh Hart,NYK,2023,27,6,6,0,158,30,49,12,19,18,30,11,15,9,23,32,19,7,3,7,13,83,0,36,27,0,1,0,0.01
30909,Moses Moody,GSW,2023,20,2,48,3,657,79,182,38,114,41,68,32,44,20,56,76,42,16,5,28,38,228,0,32,30,0,1,0,0
30845,Lonnie Walker IV,LAL,2023,24,5,45,32,1160,212,467,81,216,131,251,79,89,13,81,94,58,26,15,41,64,584,0,29,33,0,1,0,0
30881,Matthew Dellavedova,SAC,2023,32,9,26,0,162,13,37,7,19,6,18,4,7,1,8,9,34,6,0,10,16,37,0,36,25,0,1,0,0
30885,McKinley Wright IV,DAL,2023,24,2,20,1,206,23,49,4,14,19,35,7,11,6,20,26,37,7,3,12,18,57,0,32,31,0,1,0,0
30859,Malik Beasley,LAL,2023,26,7,6,4,153,30,72,19,51,11,21,0,3,0,16,16,10,11,0,10,15,79,0,29,33,0,1,0,0
30857,Malik Beasley,LAL,2023,26,7,61,17,1625,295,741,188,522,107,219,37,47,27,186,213,103,55,8,70,90,815,0,29,33,0,1,0,0
30849,Luke Kennard,MEM,2023,26,6,39,11,815,107,233,68,149,39,84,23,24,7,82,89,43,19,4,30,55,305,0,37,23,0,1,0,0
30858,Malik Beasley,LAL,2023,26,7,55,13,1472,265,669,169,471,96,198,37,44,27,170,197,93,44,8,60,75,736,0,29,33,0,1,0,0
30850,Luke Kennard,MEM,2023,26,6,35,11,725,98,211,59,132,39,79,19,20,6,77,83,37,19,4,30,47,274,0,37,23,0,1,0,0
30882,Max Christie,LAL,2023,19,1,36,3,500,43,103,26,62,17,41,14,16,7,67,74,19,8,7,13,32,126,0,29,33,0,1,0,0
30875,Matisse Thybulle,POR,2023,25,4,54,11,735,66,147,33,85,33,62,9,13,25,55,80,30,55,20,11,81,174,0,29,32,0,1,0,0
30900,Miles McBride,NYK,2023,22,2,49,2,596,55,164,30,105,25,59,22,32,10,32,42,56,26,2,21,46,162,0,36,27,0,1,0,0
30877,Matisse Thybulle,POR,2023,25,4,5,5,144,16,31,12,22,4,9,0,1,5,12,17,7,10,6,3,16,44,0,29,32,0,1,0,0
30876,Matisse Thybulle,POR,2023,25,4,49,6,591,50,116,21,63,29,53,9,12,20,43,63,23,45,14,8,65,130,0,29,32,0,1,0,0
30853,Malachi Flynn,TOR,2023,24,3,43,1,591,74,200,42,111,32,89,17,24,15,50,65,64,17,3,18,56,207,0,31,32,0,1,0,0
30842,Leandro Bolmaro,UTA,2023,22,2,14,0,68,3,20,0,4,3,16,0,0,4,3,7,7,3,1,7,10,6,0,31,32,0,1,0,0
30844,Lindy Waters III,OKC,2023,25,2,25,0,279,36,91,31,84,5,7,6,8,7,35,42,17,9,6,6,22,109,0,28,33,0,1,0,0
31046,Trent Forrest,ATL,2023,24,3,18,3,239,24,50,0,2,24,48,2,3,5,24,29,31,6,2,10,16,50,0,31,31,0,1,0,0
31044,Tre Mann,OKC,2023,21,2,55,4,1003,167,431,70,226,97,205,31,43,23,103,126,91,34,10,51,84,435,0,28,33,0,1,0,0
31043,Tre Jones,SAS,2023,23,3,52,52,1524,257,589,35,132,222,457,114,128,43,144,187,325,69,8,91,75,663,0,15,47,0,1,0,0
31034,Theo Pinson,DAL,2023,27,5,33,0,238,20,59,15,42,5,17,9,11,8,31,39,29,4,1,9,24,64,0,32,31,0,1,0,0
31033,Théo Maledon,CHO,2023,21,3,36,1,581,65,157,21,63,44,94,49,56,9,77,86,86,27,6,35,37,200,0,20,43,0,1,0,0
31025,Terrence Ross,PHO,2023,31,11,42,9,944,129,299,61,160,68,139,15,20,10,75,85,54,25,8,37,53,334,0,33,29,0,1,0,0
31024,Terrence Ross,PHO,2023,31,11,45,9,1009,142,328,66,177,76,151,16,22,11,86,97,60,26,8,37,61,366,0,33,29,0,1,0,0
31023,Terence Davis,SAC,2023,25,4,48,4,662,123,281,68,183,55,98,31,35,18,98,116,59,36,12,44,88,345,0,36,25,0,1,0,0
31022,Terance Mann,LAC,2023,26,4,63,35,1477,222,422,60,154,162,268,69,89,59,172,231,139,32,19,60,118,573,0,33,31,0,1,0,0
31019,Talen Horton-Tucker,UTA,2023,22,4,49,4,849,143,354,36,131,107,223,67,89,22,108,130,145,31,26,72,76,389,0,31,32,0,1,0,0
31014,T.J. McConnell,IND,2023,30,8,60,6,1168,199,380,18,43,181,337,41,48,34,141,175,298,60,5,106,76,457,0,28,35,0,1,0,0
31047,Trevelin Queen,IND,2023,25,2,7,0,70,7,29,2,15,5,14,5,5,8,9,17,6,2,5,7,4,21,0,28,35,0,1,0,0
31009,Sterling Brown,LAL,2023,27,6,4,0,24,0,4,0,2,0,2,0,0,3,5,8,2,3,0,0,4,0,0,29,33,0,1,0,0
31048,Trevor Hudgins,HOU,2023,23,1,5,0,28,2,9,2,8,0,1,3,3,0,0,0,3,0,0,1,1,9,0,13,48,0,1,0,0
31076,Will Barton,TOR,2023,32,11,1,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,32,0,1,0,0
31075,Will Barton,TOR,2023,32,11,40,0,782,110,284,52,137,58,147,35,45,10,101,111,95,17,10,45,39,307,0,31,32,0,1,0,0
31074,Will Barton,TOR,2023,32,11,41,0,786,110,285,52,138,58,147,35,45,10,101,111,96,17,10,45,39,307,0,31,32,0,1,0,0
31073,Wesley Matthews,MIL,2023,36,14,39,0,608,39,118,31,95,8,23,17,20,30,57,87,20,17,10,15,55,126,0,44,17,0,1,0,0
31071,Wendell Moore Jr.,MIN,2023,21,1,24,2,139,15,37,2,16,13,21,4,5,2,14,16,16,6,5,8,13,36,0,32,32,0,1,0,0
31067,Vit Krejci,ATL,2023,22,2,22,0,122,11,29,5,18,6,11,1,2,2,12,14,12,3,1,4,11,28,0,31,31,0,1,0,0
31066,Vince Williams Jr.,MEM,2023,22,1,10,0,49,3,13,1,9,2,4,0,0,2,5,7,3,4,1,1,6,7,0,37,23,0,1,0,0
31065,Victor Oladipo,MIA,2023,30,10,29,1,799,110,278,40,137,70,141,43,57,13,83,96,107,45,6,55,71,303,0,33,29,0,1,0,0
31059,TyTy Washington Jr.,HOU,2023,21,1,26,2,386,53,143,16,68,37,75,10,16,2,36,38,45,12,2,12,27,132,0,13,48,0,1,0,0
31057,Tyrese Martin,ATL,2023,23,1,13,0,45,6,16,1,5,5,11,2,2,2,4,6,0,1,0,1,2,15,0,31,31,0,1,0,0
31054,Tyler Dorsey,DAL,2023,26,3,3,0,8,4,5,1,2,3,3,0,0,1,1,2,0,0,0,0,0,9,0,32,31,0,1,0,0
31053,Ty Jerome,GSW,2023,25,4,40,2,734,113,222,32,79,81,143,34,37,7,61,68,121,21,5,27,61,292,0,32,30,0,1,0,0
31007,Stanley Umude,DET,2023,23,1,1,0,2,0,1,0,1,0,0,2,2,0,0,0,0,1,1,0,0,2,0,15,47,0,1,0,0
30957,R.J. Hampton,DET,2023,21,3,26,0,361,50,114,18,53,32,61,31,37,9,30,39,34,16,4,21,22,149,0,15,47,0,1,0,0
30955,Quenton Jackson,WAS,2023,24,1,3,0,8,2,3,1,2,1,1,0,0,1,0,1,1,0,0,0,1,5,0,29,32,0,1,0,0
30954,Quentin Grimes,NYK,2023,22,2,52,47,1543,182,410,94,268,88,142,56,70,40,131,171,101,33,21,52,130,514,0,36,27,0,1,0,0
30950,Payton Pritchard,BOS,2023,25,3,43,2,538,78,194,41,120,37,74,9,13,21,42,63,45,14,1,30,34,206,0,44,18,0,1,0,0
30947,Patty Mills,BRK,2023,34,14,36,1,479,73,177,42,114,31,63,19,21,7,28,35,48,13,2,22,27,207,0,34,27,0,1,0,0
30945,Patrick Beverley,CHI,2023,34,11,3,3,77,5,14,2,10,3,4,4,7,2,15,17,9,0,2,3,8,16,0,28,34,0,1,0,0
30944,Patrick Beverley,CHI,2023,34,11,45,45,1211,97,241,55,158,42,83,39,50,24,116,140,118,40,25,42,124,288,0,28,34,0,1,0,0
30943,Patrick Beverley,CHI,2023,34,11,48,48,1288,102,255,57,168,45,87,43,57,26,131,157,127,40,27,45,132,304,0,28,34,0,1,0,0
30930,Ochai Agbaji,UTA,2023,22,1,40,3,629,75,157,39,98,36,59,15,22,27,43,70,23,7,6,14,56,204,0,31,32,0,1,0,0
30922,Nickeil Alexander-Walker,MIN,2023,24,4,5,0,69,12,29,6,13,6,16,0,1,2,7,9,4,2,3,4,4,30,0,32,32,0,1,0,0
30921,Nickeil Alexander-Walker,MIN,2023,24,4,36,3,528,83,170,35,87,48,83,27,39,8,51,59,76,24,14,45,58,228,0,32,32,0,1,0,0
30920,Nickeil Alexander-Walker,MIN,2023,24,4,41,3,597,95,199,41,100,54,99,27,40,10,58,68,80,26,17,49,62,258,0,32,32,0,1,0,0
30956,R.J. Hampton,DET,2023,21,3,28,0,389,51,120,18,56,33,64,31,37,9,35,44,35,18,5,22,23,151,0,15,47,0,1,0,0
30958,R.J. Hampton,DET,2023,21,3,2,0,28,1,6,0,3,1,3,0,0,0,5,5,1,2,1,1,1,2,0,15,47,0,1,0,0
30959,Raul Neto,CLE,2023,30,8,41,1,418,46,89,12,36,34,53,23,25,7,33,40,58,16,3,14,37,127,0,39,25,0,1,0,0
31001,Shake Milton,PHI,2023,26,5,56,9,1158,187,379,41,107,146,272,77,91,27,118,145,160,18,9,72,89,492,0,39,21,0,1,0,0
30999,Shaedon Sharpe,POR,2023,19,1,60,5,1223,193,408,59,171,134,237,32,48,46,106,152,39,23,16,42,96,477,0,29,32,0,1,0,0
30998,Seth Curry,BRK,2023,32,9,43,6,947,162,347,77,182,85,165,34,35,12,67,79,85,26,7,44,78,435,0,34,27,0,1,0,0
30996,Scotty Pippen Jr.,LAL,2023,22,1,6,0,32,4,12,1,3,3,9,5,9,2,2,4,2,2,1,2,3,14,0,29,33,0,1,0,0
30988,Saben Lee,PHO,2023,23,3,18,0,284,34,80,7,18,27,62,34,45,10,26,36,52,14,1,20,26,109,0,33,29,0,1,0,0
30987,Saben Lee,PHO,2023,23,3,2,0,10,3,4,0,1,3,3,0,0,0,0,0,2,1,0,3,1,6,0,33,29,0,1,0,0
30986,Saben Lee,PHO,2023,23,3,20,0,294,37,84,7,19,30,65,34,45,10,26,36,54,15,1,23,27,115,0,33,29,0,1,0,0
30985,Ryan Rollins,GSW,2023,20,1,12,0,62,7,20,3,9,4,11,6,6,3,9,12,6,1,1,16,10,23,0,32,30,0,1,0,0
30984,Ryan Arcidiacono,POR,2023,28,6,3,1,43,3,9,3,6,0,3,0,0,0,6,6,6,0,0,2,3,9,0,29,32,0,1,0,0
30983,Ryan Arcidiacono,POR,2023,28,6,11,0,26,1,5,1,3,0,2,0,0,0,4,4,2,2,0,1,3,3,0,29,32,0,1,0,0
30982,Ryan Arcidiacono,POR,2023,28,6,14,1,69,4,14,4,9,0,5,0,0,0,10,10,8,2,0,3,6,12,0,29,32,0,1,0,0
30971,Romeo Langford,SAS,2023,23,4,32,19,646,100,204,13,46,87,158,24,37,46,46,92,43,16,11,22,55,237,0,15,47,0,1,0,0
30970,Rodney McGruder,DET,2023,31,7,22,3,248,23,63,17,45,6,18,9,13,12,19,31,15,6,0,7,16,72,0,15,47,0,1,0,0
30839,Landry Shamet,PHO,2023,25,5,30,7,642,92,242,61,162,31,80,41,45,8,43,51,67,18,5,29,46,286,0,33,29,0,1,0,0
